net_type,province,city_name,area_name,area_code,msc_name,msc_id,sign_point_code,scp_vc_id,number_reply_code,remark,start_time
DS,贵州,贵阳,兴义,859,贵阳DS6,13742085,23-255-125,,B0745126,,2016/11/9 9:13
DS,贵州,贵阳,都匀,854,贵阳DS6,13441854,23-254-7623-254-77,,B0745126,,2016/11/9 9:13
DS,贵州,贵阳,都匀,854,贵阳DS5,13742854,23-255-84,,B0745127,,2016/11/9 9:13
DS,贵州,贵阳,安顺,851,贵阳DS5,13747853,23-254-69,,B0745127,,2016/11/9 9:13
DS,贵州,贵阳,兴义,859,贵阳DS5,13742859,23-254-7323-254-75,,B0745127,,2016/11/9 9:13
GS,贵州,贵阳,铜仁,856,贵阳GS9,13440856,23-254-30,,B0643130,,2016/11/9 9:13
GS,吉林,白城,白城,436,白城GS1,13442826,7-251-9,,总部批文,,2016/11/9 9:13
GS,吉林,通化,通化,435,通化GS1,13442825,7-251-6,,总部批文,,2016/11/9 9:13
GS,吉林,通化,通化,435,通化GS1,13443825,7-251-6,,总部批文,,2016/11/9 9:13
GS,吉林,吉林,吉林,432,吉林GS4,13440822,7-254-74,,总部集采项目,,2016/11/9 9:13
DS,吉林,长春,四平,434,长春DS3,13442814,7-254-241,,总部集采项目,,2016/11/9 9:13
DS,吉林,长春,通化,435,长春DS3,13442815,7-254-244,,总部集采项目,,2016/11/9 9:13
DS,吉林,长春,松原,438,长春DS3,13442818,7-254-242,,总部集采项目,,2016/11/9 9:13
DS,吉林,长春,延吉,433,长春DS3,13442813,7-254-243,,总部集采项目,,2016/11/9 9:13
DS,吉林,长春,长春,431,长春DS3,13442810,7-254-224,,总部集采项目,,2016/11/9 9:13
GS,吉林,长春,长春,431,长春GS11,13441811,7-254-81,,总部批文,,2016/11/9 9:13
GS,吉林,长春,长春,431,长春GS12,13441812,7-254-84,,总部批文,,2016/11/9 9:13
GS,吉林,通化,通化,435,通化GS2,13445810,7-254-113,,总部集采项目,,2016/11/9 9:13
GS,吉林,通化,通化,435,通化GS2,13445811,7-254-113,,总部集采项目,,2016/11/9 9:13
GS,湖北,武汉,荆州,716,武汉GS68,13442721,17-254-86,,鄂移计[2016]54号,,2016/11/9 9:13
GS,湖北,宜昌,宜昌,717,宜昌GS01,13442727,17-255-170,,20161109,,2016/11/9 9:13
DS,湖北,襄樊,随州,722,襄樊DS6,13441728,17-255-147,,无,,2016/11/9 9:13
GS,湖北,襄樊,襄樊,710,襄樊GS02,13442726,17-255-165,,20161109,,2016/11/9 9:13
GS,湖北,武汉,荆州,716,武汉GS66,13442724,17-255-51,,鄂移计[2016]54号,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS18,13441711,17-254-97,,20161109,,2016/11/9 9:13
DS,湖北,襄樊,荆门,724,襄樊DS11,13440724,17-254-82,,鄂移计[2016]54号,,2016/11/9 9:13
DS,湖北,武汉,武汉,27,武汉DS9,13440716,17-254-10817-254-109,,20161109,,2016/11/9 9:13
DS,湖北,武汉,孝感,712,武汉DS6,13440722,17-254-76,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS16,13440719,17-254-91,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS20,13441713,17-254-101,,20161109,,2016/11/9 9:13
DS,湖北,武汉,武汉,27,武汉DS8,13440715,17-254-10517-254-106,,20161109,,2016/11/9 9:13
DS,湖北,武汉,黄冈,713,武汉DS4,13440720,17-254-7017-251-45,,无,,2016/11/9 9:13
DS,湖北,襄樊,荆门,724,襄樊DS12,13440725,17-254-84,,鄂移计[2016]54号,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS19,13441712,17-254-99,,20161109,,2016/11/9 9:13
DS,湖北,武汉,黄冈,713,武汉DS5,13440721,17-254-7417-251-46,,无,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS17,13441710,17-254-93,,20161109,,2016/11/9 9:13
DS,湖北,武汉,孝感,712,武汉DS7,13440723,17-254-78,,20161109,,2016/11/9 9:13
GS,湖北,襄樊,荆门,724,襄樊GS03,13442720,17-255-69,,20161109,,2016/11/9 9:13
GS,湖北,武汉,鄂州,711,武汉GS01,13447729,17-255-221,,湖北容灾工程,,2016/11/9 9:13
DS,湖北,武汉,荆州,716,武汉DS16,13741727,17-255-155,,鄂移发[2012]1234号,,2016/11/9 9:13
GS,湖北,襄樊,襄樊,710,襄樊GS01,13443721,17-255-62,,20161109,,2016/11/9 9:13
GS,湖北,武汉,黄石,714,武汉GS21,13444721,17-254-114,,20161109,,2016/11/9 9:13
DS,湖北,武汉,鄂州,711,武汉DS14,13444723,17-254-116,,鄂移发[[2012]1234,,2016/11/9 9:13
DS,湖北,武汉,鄂州,711,武汉DS15,13444724,17-254-118,,鄂移发[[2012]1234,,2016/11/9 9:13
DS,湖北,武汉,咸宁,715,武汉DS10,13742727,17-254-130,,20161109,,2016/11/9 9:13
DS,湖北,武汉,咸宁,715,武汉DS11,13742728,17-254-132,,20161109,,2016/11/9 9:13
GS,湖北,宜昌,宜昌,717,宜昌GS08,13440728,17-254-137,,20161109,,2016/11/9 9:13
GS,湖北,宜昌,荆州,716,宜昌GS10,13441721,17-254-145,,20161109,,2016/11/9 9:13
GS,湖北,襄樊,十堰,719,襄樊GS10,13441726,17-254-157,,20161109,,2016/11/9 9:13
GS,湖北,武汉,荆州,716,武汉GS69,13441720,17-254-141,,鄂移计[2016]54号,,2016/11/9 9:13
DS,湖北,武汉,恩施,718,武汉DS19,13441723,17-254-149,,鄂移计[2016]54号,,2016/11/9 9:13
DS,湖北,武汉,恩施,718,武汉DS20,13441724,17-254-153,,鄂移计[2016]54号,,2016/11/9 9:13
GS,湖北,襄樊,襄樊,710,襄樊GS09,13441725,17-254-155,,20161109,,2016/11/9 9:13
DS,湖北,宜昌,宜昌,717,宜昌DS2,13440729,17-254-139,,20161109,,2016/11/9 9:13
GS,湖北,宜昌,恩施,718,宜昌GS11,13441722,17-254-147,,20161109,,2016/11/9 9:13
GS,湖北,襄樊,十堰,719,襄樊GS11,13441727,17-254-161,,20161109,,2016/11/9 9:13
GS,湖北,武汉,江汉,728,武汉GS24,13443727,17-254-122,,20161109,,2016/11/9 9:13
GS,湖北,武汉,江汉,728,武汉GS25,13443728,17-254-124,,20161109,,2016/11/9 9:13
GS,湖北,武汉,江汉,728,武汉GS26,13443729,17-254-126,,20161109,,2016/11/9 9:13
DS,湖北,武汉,武汉,27,武汉DS1,13743712,17-255-249,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS05,13440714,17-255-245,,20161109,,2016/11/9 9:13
DS,湖北,武汉,武汉,27,武汉DS2,13743713,17-255-251,,20161109,,2016/11/9 9:13
GS,湖北,武汉,黄冈,713,武汉GS08,13442728,17-254-30,,20161109,,2016/11/9 9:13
GS,湖北,武汉,黄冈,713,武汉GS09,13442729,17-254-34,,20161109,,2016/11/9 9:13
GS,湖北,襄樊,十堰,719,襄樊GS07,13440726,17-254-44,,20161109,,2016/11/9 9:13
GS,湖南,湘潭,湘潭,731,湘潭GS02,13440733,18-255-63,,2015,,2016/11/9 9:13
GS,湖南,吉首,吉首,743,吉首GS01,13440736,18-255-55,,20161109,,2016/11/9 9:13
GS,湖南,吉首,怀化,745,吉首GS01,,18-255-55,,20161109,,2016/11/9 9:13
GS,湖南,张家界,张家界,744,张家界GS01,13440735,18-255-39,,20161109,,2016/11/9 9:13
GS,湖北,武汉,荆州,716,武汉GS67,13442723,17-254-50,,鄂移计[2016]54号,,2016/11/9 9:13
GS,湖北,武汉,江汉,728,武汉GS11,13443726,17-254-38,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS06,13440717,17-254-26,,20161109,,2016/11/9 9:13
DS,湖北,襄樊,襄樊,710,襄樊DS9,13742722,17-254-53,,无,,2016/11/9 9:13
GS,湖北,宜昌,恩施,718,宜昌GS06,13442722,17-254-51,,20161109,,2016/11/9 9:13
GS,湖北,武汉,孝感,712,武汉GS10,13443725,17-254-36,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS07,13440718,17-254-28,,20161109,,2016/11/9 9:13
GS,湖北,襄樊,襄樊,710,襄樊GS06,13443723,17-254-43,,20161109,,2016/11/9 9:13
GS,湖北,襄樊,荆门,724,襄樊GS08,13440727,17-254-45,,20161109,,2016/11/9 9:13
GS,湖北,宜昌,宜昌,717,宜昌GS03,13443724,17-254-46,,20161109,,2016/11/9 9:13
GS,湖北,武汉,咸宁,715,武汉GS12,13444722,17-254-42,,20161109,,2016/11/9 9:13
GS,湖北,宜昌,宜昌,717,宜昌GS04,13441729,17-254-49,,20161109,,2016/11/9 9:13
DS,湖北,襄樊,十堰,719,襄樊DS5,13900864,17-255-121,,20161109,,2016/11/9 9:13
DS,湖北,襄樊,十堰,719,襄樊DS5,13745866,17-255-121,,20161109,,2016/11/9 9:13
DS,湖北,襄樊,十堰,719,襄樊DS8,13900868,17-255-126,,鄂移发[2012]1234号,,2016/11/9 9:13
DS,湖北,襄樊,十堰,719,襄樊DS8,13745865,17-255-126,,鄂移发[2012]1234号,,2016/11/9 9:13
DS,湖北,武汉,黄石,714,武汉DS12,13444720,17-255-149,,20161109,,2016/11/9 9:13
DS,湖北,武汉,江汉,728,武汉DS17,13741720,17-255-225,,鄂移发[2012]1234号,,2016/11/9 9:13
DS,湖北,武汉,江汉,728,武汉DS18,13741721,17-255-226,,鄂移发[2012]1234号,,2016/11/9 9:13
GS,湖北,襄樊,随州,722,襄樊GS19,13447721,17-251-66,,20161109,,2016/11/9 9:13
GS,湖北,宜昌,宜昌,717,宜昌GS18,13446728,17-251-58,,20161109,,2016/11/9 9:13
GS,湖北,襄樊,十堰,719,襄樊GS18,13447720,17-251-62,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS49,13442715,17-251-52,,20161109,,2016/11/9 9:13
GS,湖北,武汉,黄冈,713,武汉GS50,13446727,17-251-54,,20161109,,2016/11/9 9:13
GS,湖北,襄樊,襄樊,710,襄樊GS17,13446729,17-251-60,,20161109,,2016/11/9 9:13
DS,湖北,宜昌,宜昌,717,宜昌DS1,13741726,17-255-174,,20161109,,2016/11/9 9:13
GS,湖北,襄樊,荆门,724,襄樊GS15,13446723,17-254-228,,20161109,,2016/11/9 9:13
DS,湖北,襄樊,随州,722,襄樊DS7,13446724,17-254-230,,无,,2016/11/9 9:13
GS,湖北,宜昌,荆州,716,宜昌GS15,13445727,17-254-212,,20161109,,2016/11/9 9:13
GS,湖北,襄樊,荆门,724,襄樊GS14,13446722,17-254-226,,20161109,,2016/11/9 9:13
